Type,Diam_cm,Material,X,Y,Z
6,58.0,1,634094.4874810767,3475456.464818885,-10.142200000002049
3,90.0,0,634208.4532383069,3475603.796288288,-6.26249999999709
3,130.0,0,634205.2992185873,3475603.5604494032,-4.8836000000010245
11,51.0,1,634197.5150254772,3475692.391734046,-5.351599999994505
11,58.0,1,634195.0466166637,3475692.094068695,-4.449299999992945
3,0.0,0,634207.7952294792,3475799.564879063,-2.607300000003306
12,85.0,1,634201.4690181417,3475883.38863587,-4.112599999993108
6,64.0,1,634201.8112360877,3475896.665953677,-4.540500000002794
6,50.0,1,634204.7484224427,3475897.902835437,-4.434500000003027
6,60.0,1,634204.9398314103,3475896.094574554,-4.112999999997555
6,75.0,1,634207.0260461302,3475899.3046427593,-4.018400000000838
6,60.0,5,634201.680894224,3475905.7101378664,-4.395799999998417
11,60.0,1,634202.2205195817,3476002.969926154,-3.6618000000016764
6,70.0,0,634203.6394335851,3476004.060139493,-4.7510999999940395
6,60.0,1,634209.3544543157,3476023.7355609797,-4.937000000005355
6,51.0,1,634174.4988452077,3475391.915733087,-1.6002000000007683
11,63.0,1,633988.1925665069,3476211.71365184,-3.4855999999999767
6,67.0,1,634006.5247801429,3476204.365628076,-3.0099000000045635
6,58.0,1,634002.5789735746,3476213.594000043,-2.6018000000040047
6,60.0,1,634102.5149621107,3476208.68613122,-2.582299999994575
6,60.0,1,634103.7325738407,3476202.6735186223,-3.3558000000048196
9,48.0,1,634121.0562081032,3476194.6569942385,-2.6389000000053784
9,60.0,1,634203.2913031355,3476199.4434849685,-2.749599999995553
6,58.0,1,634209.4005939247,3476205.464959595,-2.9924000000028173
3,70.0,0,634309.1299400151,3476296.0817921003,-3.0970999999990454
3,80.0,0,634307.3535398005,3476306.9240514394,-3.8533000000024913
13,0.0,0,633865.9395509346,3475412.9321569516,0.0503000000026077
9,70.0,1,632852.4038256141,3476871.375639048,-5.1137000000017
9,70.0,1,632848.0012293068,3476898.184892488,-3.634300000005169
11,50.0,1,632858.1695057667,3476895.6665448365,-4.6732000000047265
14,0.84,1,633775.0393152229,3475564.6255079494,1.399600000004284
15,0.77,1,633772.3431830155,3475563.370722117,-1.2329999999928987
16,127.0,1,633771.7349445127,3475587.6637868504,-2.1217000000033295
16,67.0,1,633800.8141927747,3475564.908238501,-0.5751000000018394
16,75.0,1,633774.4277763831,3475563.42018808,-1.231100000004517
17,167.0,1,633767.6023954605,3475529.3388158693,-1.8099999999976717
14,101.0,1,633790.0336439931,3475523.1775368825,-1.2265000000043074
17,251.0,1,633788.7452086656,3475517.3583524437,-0.1708000000071479
18,89.0,1,633787.7039068381,3475487.471654543,-0.7183999999979278
18,124.0,1,633795.2647069738,3475491.150753321,-0.6294999999954598
18,77.0,1,633805.3524932927,3475544.7056219866,-0.10439999999653082
19,145.0,6,633811.7234696012,3475553.6667379676,-1.273300000000745
14,57.0,1,633809.9088343646,3475581.064245599,-0.10869999999704305
16,99.0,1,633835.3853794185,3475578.220317527,0.522899999996298
14,48.0,1,633840.4991051685,3475585.9027236477,-0.9379000000044471
18,106.0,1,633842.3687626859,3475588.194572473,-1.0350000000034925
16,107.0,1,633854.8165260177,3475571.3850660184,-0.6940000000031432
20,127.0,1,633859.0802687514,3475566.362754508,-0.5815000000002328
14,63.0,1,633878.986631098,3475560.154641745,-0.4412000000011176
18,124.0,1,633893.521835275,3475534.96663021,-0.35420000000158325
14,65.0,1,633837.1193413722,3475473.3511248333,-0.24199999999837019
14,57.0,1,633853.508593133,3475461.1389858583,-0.2958000000071479
18,100.0,1,633891.0258063928,3475378.0465521,-1.8046999999933178
14,56.0,1,633887.0582440975,3475378.2524282,-2.3502000000007683
14,80.0,1,633879.8005554075,3475381.5335316644,-2.3614999999990687
14,55.0,1,633861.6479644524,3475387.8738852143,-1.595499999995809
14,55.0,1,633856.826871552,3475391.069248515,-1.9422000000049593
14,57.0,1,633850.6809831872,3475399.9955769675,-1.7341000000014901
17,122.0,1,633849.6492533584,3475436.6987238238,-0.9349999999976717
14,90.0,1,633840.767570041,3475458.3656524643,-0.7709999999933643
14,71.0,1,633843.0610113215,3475459.6374101914,-0.8896999999997206
